
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      2,008 K
Registry                       124 Services                   0     43,320 K
smss.exe                       540 Services                   0        564 K
csrss.exe                      812 Services                   0      4,292 K
wininit.exe                    936 Services                   0      4,408 K
services.exe                  1012 Services                   0      9,092 K
lsass.exe                       88 Services                   0     20,004 K
svchost.exe                   1036 Services                   0     25,500 K
fontdrvhost.exe               1064 Services                   0        960 K
svchost.exe                   1128 Services                   0     15,356 K
svchost.exe                   1176 Services                   0      6,340 K
svchost.exe                   1364 Services                   0      6,992 K
svchost.exe                   1440 Services                   0      4,676 K
svchost.exe                   1468 Services                   0      4,960 K
svchost.exe                   1512 Services                   0      4,464 K
svchost.exe                   1564 Services                   0      3,340 K
QMEmulatorService.exe         1888 Services                   0      4,288 K
svchost.exe                   1916 Services                   0     10,648 K
svchost.exe                   1936 Services                   0      2,764 K
svchost.exe                   2020 Services                   0      8,648 K
svchost.exe                   1172 Services                   0      8,500 K
svchost.exe                   1768 Services                   0      3,456 K
amdfendrsr.exe                2096 Services                   0      2,724 K
AsusCertService.exe           2104 Services                   0      4,820 K
atiesrxx.exe                  2112 Services                   0      3,592 K
svchost.exe                   2292 Services                   0      2,056 K
svchost.exe                   2296 Services                   0      7,468 K
svchost.exe                   2308 Services                   0      4,696 K
svchost.exe                   2392 Services                   0      5,840 K
Memory Compression            2400 Services                   0     96,680 K
svchost.exe                   2452 Services                   0      4,076 K
svchost.exe                   2460 Services                   0      4,972 K
svchost.exe                   2500 Services                   0      5,404 K
svchost.exe                   2736 Services                   0     10,988 K
atkexComSvc.exe               2816 Services                   0      4,436 K
svchost.exe                   2868 Services                   0     17,716 K
svchost.exe                   2908 Services                   0     18,484 K
svchost.exe                   2960 Services                   0      4,124 K
WmiPrvSE.exe                  2648 Services                   0     42,336 K
svchost.exe                   3240 Services                   0     12,356 K
svchost.exe                   3676 Services                   0      3,976 K
svchost.exe                   3764 Services                   0      9,768 K
SearchIndexer.exe             3948 Services                   0     44,628 K
svchost.exe                   4020 Services                   0      2,768 K
svchost.exe                   4028 Services                   0      4,732 K
svchost.exe                   3744 Services                   0      7,880 K
svchost.exe                   3904 Services                   0     13,004 K
spoolsv.exe                   4372 Services                   0      6,252 K
svchost.exe                   4424 Services                   0      5,892 K
svchost.exe                   4572 Services                   0      6,380 K
svchost.exe                   4648 Services                   0      3,120 K
AsusUpdateCheck.exe           4780 Services                   0      2,628 K
svchost.exe                   4788 Services                   0     30,436 K
svchost.exe                   4800 Services                   0     35,680 K
AnyDesk.exe                   4808 Services                   0      8,380 K
svchost.exe                   4832 Services                   0     10,240 K
ArmouryCrate.Service.exe      4844 Services                   0     18,784 K
GooglePlayGamesServices.e     4856 Services                   0     38,304 K
AsusFanControlService.exe     4872 Services                   0      4,072 K
GameSDK.exe                   4892 Services                   0      1,512 K
svchost.exe                   4900 Services                   0      3,600 K
freelan.exe                   4912 Services                   0      2,464 K
hamachi-2.exe                 4940 Services                   0      5,540 K
LMIGuardianSvc.exe            4948 Services                   0      2,496 K
jhi_service.exe               4968 Services                   0      1,436 K
svchost.exe                   4996 Services                   0      6,128 K
ROGLiveService.exe            5004 Services                   0     16,024 K
RtkAudUService64.exe          5012 Services                   0      4,064 K
svchost.exe                   5020 Services                   0      2,288 K
LightingService.exe           5032 Services                   0     15,184 K
MpDefenderCoreService.exe     5044 Services                   0     10,744 K
RstMwService.exe              5052 Services                   0      3,296 K
svchost.exe                   5060 Services                   0     10,320 K
WindscribeService.exe         5068 Services                   0      2,596 K
WMIRegistrationService.ex     5076 Services                   0      2,428 K
MsMpEng.exe                   5084 Services                   0    363,472 K
OriginWebHelperService.ex     5096 Services                   0      5,232 K
zerotier-one_x64.exe          5116 Services                   0      5,704 K
svchost.exe                   4512 Services                   0      4,272 K
svchost.exe                   6020 Services                   0      1,580 K
svchost.exe                   6108 Services                   0      2,300 K
svchost.exe                   5460 Services                   0      4,588 K
AggregatorHost.exe            7820 Services                   0      4,440 K
